Country,Measurement,Score,,,,,,,,,,,,,,,,,,,,,,Country,Measurement,Score
Afghanistan,Business Freedom,49.2,,,,,,,,,,,,,,,,,,,,,,Afghanistan,Business Freedom,49.2
Albania,Business Freedom,69.3,,,,,,,,,,,,,,,,,,,,,,Albania,Labor Freedom,60.4
Algeria,Business Freedom,61.6,,,,,,,,,,,,,,,,,,,,,,Algeria,Monetary Freedom,76.7
Angola,Business Freedom,55.7,,,,,,,,,,,,,,,,,,,,,,Angola,Trade Freedom,66
Argentina,Business Freedom,56.4,,,,,,,,,,,,,,,,,,,,,,Argentina,Business Freedom,
Armenia,Business Freedom,78.3,,,,,,,,,,,,,,,,,,,,,,Armenia,Labor Freedom,
Australia,Business Freedom,88.3,,,,,,,,,,,,,,,,,,,,,,Australia,Monetary Freedom,
Austria,Business Freedom,74.9,,,,,,,,,,,,,,,,,,,,,,Austria,Trade Freedom,
Azerbaijan,Business Freedom,69.5,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,Business Freedom,68.5,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,Business Freedom,71.4,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,Business Freedom,50.9,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,Business Freedom,69.8,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,Business Freedom,75,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Business Freedom,78.1,,,,,,,,,,,,,,,,,,,,,,,,
Belize,Business Freedom,61.8,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Business Freedom,62.4,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,Business Freedom,68.7,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,Business Freedom,58.8,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Business Freedom,49.7,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Business Freedom,68.7,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Business Freedom,57.9,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Business Freedom,62.7,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,Business Freedom,51.6,,,,,,,,,,,,,,,,,,,,,,,,
Burma,Business Freedom,52.8,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,Business Freedom,50.3,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,Business Freedom,29.9,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Business Freedom,44.4,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Business Freedom,81.9,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,Business Freedom,65.2,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,Business Freedom,24.2,,,,,,,,,,,,,,,,,,,,,,,,
Chad,Business Freedom,28.1,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Business Freedom,76.6,,,,,,,,,,,,,,,,,,,,,,,,
China,Business Freedom,56.2,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Business Freedom,71.4,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,Business Freedom,57.2,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Democratic Republic of the Congo",Business Freedom,53.2,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Republic of",Business Freedom,38.2,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,Business Freedom,67.2,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,Business Freedom,61,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Business Freedom,60.7,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,Business Freedom,20,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Business Freedom,76.9,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Business Freedom,72.4,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Business Freedom,90.7,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,Business Freedom,54.7,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,Business Freedom,70.7,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,Business Freedom,51.9,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,Business Freedom,54.1,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Business Freedom,65.9,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,Business Freedom,57.2,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,Business Freedom,37.6,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,Business Freedom,17.7,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Business Freedom,75.3,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,Business Freedom,48.6,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,Business Freedom,63,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Business Freedom,89.4,,,,,,,,,,,,,,,,,,,,,,,,
France,Business Freedom,81.2,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,Business Freedom,52.1,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,Business Freedom,54,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Business Freedom,85.8,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Business Freedom,83.3,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,Business Freedom,56.5,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Business Freedom,74.1,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Business Freedom,53.6,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,Business Freedom,54.6,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,Business Freedom,35.9,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,Business Freedom,59.3,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,Business Freedom,36.2,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,Business Freedom,56.9,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Business Freedom,96.4,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Business Freedom,61.1,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Business Freedom,88.4,,,,,,,,,,,,,,,,,,,,,,,,
India,Business Freedom,57.1,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,Business Freedom,69.3,,,,,,,,,,,,,,,,,,,,,,,,
Iran,Business Freedom,62.2,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Business Freedom,54.4,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Business Freedom,83.1,,,,,,,,,,,,,,,,,,,,,,,,
Israel,Business Freedom,71.4,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Business Freedom,71.7,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,Business Freedom,78,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Business Freedom,80.5,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Business Freedom,61.8,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,Business Freedom,73.9,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Business Freedom,55.8,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,Business Freedom,41.9,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, North ",Business Freedom,5,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, South",Business Freedom,91.3,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,Business Freedom,57.4,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,Business Freedom,73.4,,,,,,,,,,,,,,,,,,,,,,,,
Laos,Business Freedom,60.1,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Business Freedom,77.5,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Business Freedom,47.9,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,Business Freedom,53.3,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,Business Freedom,50.6,,,,,,,,,,,,,,,,,,,,,,,,
Libya,Business Freedom,40.2,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Business Freedom,75.2,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Business Freedom,68.8,,,,,,,,,,,,,,,,,,,,,,,,
Macau,Business Freedom,60,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,Business Freedom,80.2,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,Business Freedom,47.3,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,Business Freedom,41.7,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Business Freedom,83.9,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,Business Freedom,78.3,,,,,,,,,,,,,,,,,,,,,,,,
Mali,Business Freedom,53.8,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Business Freedom,67.1,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,Business Freedom,61.9,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,Business Freedom,79.8,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Business Freedom,67.8,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia,Business Freedom,57.4,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,Business Freedom,67,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,Business Freedom,66,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,Business Freedom,73.3,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,Business Freedom,70.3,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Business Freedom,57.1,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Business Freedom,65.8,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Business Freedom,61.8,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Business Freedom,81.4,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,Business Freedom,91,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,Business Freedom,56,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Business Freedom,56.3,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,Business Freedom,51.2,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Business Freedom,89.4,,,,,,,,,,,,,,,,,,,,,,,,
Oman,Business Freedom,75.2,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Business Freedom,56.1,,,,,,,,,,,,,,,,,,,,,,,,
Panama,Business Freedom,73.6,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,Business Freedom,62.2,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,Business Freedom,61.5,,,,,,,,,,,,,,,,,,,,,,,,
Peru,Business Freedom,67.8,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,Business Freedom,61.3,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Business Freedom,65.4,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Business Freedom,79.7,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,Business Freedom,71.2,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Business Freedom,63.1,,,,,,,,,,,,,,,,,,,,,,,,
Russia,Business Freedom,78.4,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Business Freedom,56.2,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,Business Freedom,76.3,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,Business Freedom,76.5,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,Business Freedom,77,,,,,,,,,,,,,,,,,,,,,,,,
São Tomé and Príncipe,Business Freedom,65.1,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Business Freedom,72.3,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Business Freedom,53.3,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,Business Freedom,72.9,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,Business Freedom,63.3,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,Business Freedom,44.9,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,Business Freedom,90.8,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Business Freedom,61.3,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Business Freedom,79.3,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,Business Freedom,68.6,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Business Freedom,64.3,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Business Freedom,66.8,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,Business Freedom,75.1,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,Business Freedom,52.1,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,Business Freedom,48.3,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,Business Freedom,59.2,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Business Freedom,88,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Business Freedom,75.4,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan ,Business Freedom,93.2,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,Business Freedom,67.3,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,Business Freedom,46.6,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,Business Freedom,82.5,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,Business Freedom,60.5,,,,,,,,,,,,,,,,,,,,,,,,
Togo,Business Freedom,50.4,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,Business Freedom,75.3,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,Business Freedom,67.8,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,Business Freedom,76.7,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Business Freedom,66,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,Business Freedom,30,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,Business Freedom,46.3,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Business Freedom,66.1,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Business Freedom,79.9,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Business Freedom,92.9,,,,,,,,,,,,,,,,,,,,,,,,
United States,Business Freedom,83.8,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Business Freedom,74.3,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,Business Freedom,72.5,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,Business Freedom,52.4,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,Business Freedom,33.9,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,Business Freedom,63.5,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,Business Freedom,45.1,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,Business Freedom,71.1,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,Business Freedom,33.4,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,Business Freedom,73.8,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,Business Freedom,80.2,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Labor Freedom,60.4,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Labor Freedom,52.7,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Labor Freedom,49.9,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Labor Freedom,58.8,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Labor Freedom,46.9,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,Labor Freedom,71.4,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Labor Freedom,84.1,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Labor Freedom,68.7,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,Labor Freedom,63.9,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,Labor Freedom,67.5,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,Labor Freedom,71.1,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,Labor Freedom,68.2,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,Labor Freedom,59.9,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,Labor Freedom,75.3,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Labor Freedom,61,,,,,,,,,,,,,,,,,,,,,,,,
Belize,Labor Freedom,54.8,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Labor Freedom,53.8,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,Labor Freedom,79.5,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,Labor Freedom,52.9,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Labor Freedom,67,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Labor Freedom,68.2,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Labor Freedom,51.9,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Labor Freedom,68.4,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,Labor Freedom,52.3,,,,,,,,,,,,,,,,,,,,,,,,
Burma,Labor Freedom,65.7,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,Labor Freedom,67.5,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,Labor Freedom,63,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Labor Freedom,47.8,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Labor Freedom,73.7,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,Labor Freedom,55.7,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,Labor Freedom,40.1,,,,,,,,,,,,,,,,,,,,,,,,
Chad,Labor Freedom,43.2,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Labor Freedom,65,,,,,,,,,,,,,,,,,,,,,,,,
China,Labor Freedom,64.2,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Labor Freedom,78.5,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,Labor Freedom,60.3,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Democratic Republic of the Congo",Labor Freedom,41.9,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Republic of",Labor Freedom,35.8,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,Labor Freedom,55.2,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,Labor Freedom,52.5,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Labor Freedom,44,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,Labor Freedom,20,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Labor Freedom,59.5,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Labor Freedom,78.1,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Labor Freedom,86.4,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,Labor Freedom,60.4,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,Labor Freedom,60.4,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,Labor Freedom,57.6,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,Labor Freedom,48.2,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Labor Freedom,51.6,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,Labor Freedom,53.1,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,Labor Freedom,32.7,,,,,,,,,,,,,,,,,,,,,,,,
